source,product,vendor,description,published,cvss,cve,reference,date
CISA IT,mingsoft,mcms,SQL Injection vulnerability found in Ming-Soft MCMS v.4.7.2 allows a remote attacker to execute arbitrary code via basic_title parameter.,2023-04-04,9.8,CVE-2020-20913,https://nvd.nist.gov/nvd.cfm?cvename=CVE-2020-20913,2023-04-04
CISA IT,publiccms,publiccms,SQL Injection vulnerability found in San Luan PublicCMS v.4.0 allows a remote attacker to execute arbitrary code via the sql parameter.,2023-04-04,9.8,CVE-2020-20914,https://nvd.nist.gov/nvd.cfm?cvename=CVE-2020-20914,2023-04-04
CISA IT,publiccms,publiccms,SQL Injection vulnerability found in PublicCMS v.4.0 allows a remote attacker to execute arbitrary code via sql parameter of the the SysSiteAdminControl.,2023-04-04,9.8,CVE-2020-20915,https://nvd.nist.gov/nvd.cfm?cvename=CVE-2020-20915,2023-04-04
CISA IT,generex,cs141_firmware,"Generex UPS CS141 below 2.06 version, could allow a remote attacker to upload a firmware file containing a webshell that could allow him to execute arbitrary code as root.",2023-03-31,9.8,CVE-2022-47190,https://nvd.nist.gov/nvd.cfm?cvename=CVE-2022-47190,2023-03-31
CISA IT,fernus,learning_management_systems,"Unrestricted Upload of File with Dangerous Type vulnerability in Fernus Informatics LMS allows OS Command Injection, Server Side Include (SSI) Injection.This issue affects LMS: before 23.04.03.",2023-04-04,9.8,CVE-2023-1728,https://nvd.nist.gov/nvd.cfm?cvename=CVE-2023-1728,2023-04-04
CISA IT,phpmyfaq,phpmyfaq,Weak Password Requirements in GitHub repository thorsten/phpmyfaq prior to 3.1.12.,2023-03-31,9.8,CVE-2023-1753,https://nvd.nist.gov/nvd.cfm?cvename=CVE-2023-1753,2023-03-31
CISA IT,akbim,panon,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Akbim Computer Panon allows SQL Injection.This issue affects Panon: before 1.0.2.,2023-04-03,9.8,CVE-2023-1765,https://nvd.nist.gov/nvd.cfm?cvename=CVE-2023-1765,2023-04-03
CISA IT,sourcecodester,grade_point_average_\(gpa\)_calculator,A vulnerability has been found in SourceCodester Grade Point Average GPA Calculator 1.0 and classified as critical. Affected by this vulnerability is the function get_scale of the file Master.php. The manipulation of the argument perc leads to sql injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-224671.,2023-03-31,9.8,CVE-2023-1770,https://nvd.nist.gov/nvd.cfm?cvename=CVE-2023-1770,2023-03-31
CISA IT,rockoa,rockoa,A vulnerability was found in Rockoa 2.3.2. It has been declared as critical. This vulnerability affects unknown code of the file webmainConfig.php of the component Configuration File Handler. The manipulation leads to code injection. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. VDB-224674 is the identifier assigned to this vulnerability.,2023-03-31,9.8,CVE-2023-1773,https://nvd.nist.gov/nvd.cfm?cvename=CVE-2023-1773,2023-03-31
CISA IT,jeecg,jeecg_boot,A vulnerability was found in jeecg-boot 3.5.0 and classified as critical. This issue affects some unknown processing of the component API Documentation. The manipulation leads to improper authentication. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-224699.,2023-03-31,9.8,CVE-2023-1784,https://nvd.nist.gov/nvd.cfm?cvename=CVE-2023-1784,2023-03-31
CISA IT,sourcecodester,earnings_and_expense_tracker_app,A vulnerability was found in SourceCodester Earnings and Expense Tracker App 1.0. It has been classified as critical. Affected is an unknown function of the file manage_user.php. The manipulation of the argument id leads to sql injection. It is possible to launch the attack remotely. The identifier of this vulnerability is VDB-224700.,2023-03-31,9.8,CVE-2023-1785,https://nvd.nist.gov/nvd.cfm?cvename=CVE-2023-1785,2023-03-31
CISA IT,firefly-iii,firefly_iii,Improper Input Validation in GitHub repository firefly-iii/firefly-iii prior to 6.0.0.,2023-04-01,9.8,CVE-2023-1789,https://nvd.nist.gov/nvd.cfm?cvename=CVE-2023-1789,2023-04-01
